3Par7450 cli% srstatld -attime -groupby LD_NAME
Time: 2017-06-22 05:40:00 CDT (1498128000)
              ----IO/s---- ---KBytes/s---- ---Svct ms---- -IOSz KBytes-
      LD_NAME  Rd  Wr  Tot  Rd    Wr   Tot   Rd   Wr  Tot  Rd   Wr  Tot QLen AvgBusy%
.srdata.usr.0 0.0 0.1  0.1 0.0  10.1  10.1 0.00 1.19 1.19 0.0 74.3 74.3    0      0.0
.srdata.usr.1 0.0 0.9  0.9 0.0   4.6   4.6 0.00 1.03 1.03 0.0  5.4  5.4    0      0.0
  admin.usr.0 0.0 1.0  1.0 0.0   4.9   4.9 0.00 0.11 0.11 0.0  5.0  5.0    0      0.0
  admin.usr.1 0.0 0.0  0.0 0.0   0.0   0.0 0.00 0.00 0.00 0.0  0.0  0.0    0      0.0
  admin.usr.2 0.0 1.5  1.5 0.0  33.3  33.3 0.00 0.25 0.25 0.0 22.1 22.1    0      0.0
  admin.usr.3 0.0 0.0  0.0 0.0   0.0   0.0 0.00 0.00 0.00 0.0  0.0  0.0    0      0.0
       log0.0 0.0 0.0  0.0 0.0   0.0   0.0 0.00 0.00 0.00 0.0  0.0  0.0    0      0.0
       log1.0 0.0 0.0  0.0 0.0   0.0   0.0 0.00 0.00 0.00 0.0  0.0  0.0    0      0.0
     pdsld0.0 0.0 0.0  0.0 0.0   0.0   0.0 0.00 0.00 0.00 0.0  0.0  0.0    0      0.0
     pdsld0.1 0.0 0.0  0.0 0.0   0.0   0.0 0.00 0.00 0.00 0.0  0.0  0.0    0      0.0
     pdsld0.2 0.0 0.0  0.0 0.0   0.0   0.0 0.00 0.00 0.00 0.0  0.0  0.0    0      0.0
  tp-0-sa-0.0 0.0 0.0  0.0 0.0   0.1   0.1 0.00 0.10 0.10 0.0  4.1  4.1    0      0.0
  tp-0-sa-0.1 0.0 0.0  0.0 0.0   0.5   0.5 0.00 0.17 0.17 0.0 13.0 13.0    0      0.0
  tp-0-sd-0.0 0.0 2.4  2.4 0.0  19.7  19.7 0.17 0.72 0.71 0.8  8.1  8.1    0      0.1
  tp-0-sd-0.1 0.8 3.8  4.6 1.8  38.7  40.5 0.77 1.09 1.03 2.3 10.1  8.8    0      0.4
-------------------------------------------------------------------------------------
           15 0.8 9.7 10.5 1.8 111.9 113.7 0.77 0.76 0.76 2.3 11.2 10.5    0      0.0
