3Par7450 cli% srldspace -attime -groupby LD_NAME
Time: 2017-06-22 05:50:00 CDT (1498128600)
              ---------(MB)----------
      LD_NAME   Raw  Used  Free Total
.srdata.usr.0 57344 40960  2048 43008
.srdata.usr.1 57344 40960  2048 43008
  admin.usr.0  8192  4096     0  4096
  admin.usr.1  2048  1024     0  1024
  admin.usr.2  8192  4096     0  4096
  admin.usr.3  2048  1024     0  1024
       log0.0 40960     0 20480 20480
       log1.0 40960     0 20480 20480
     pdsld0.0  6144     0  2048  2048
     pdsld0.1 49152     0 16384 16384
     pdsld0.2 49152     0 16384 16384
  tp-0-sa-0.0 12288   128  3968  4096
  tp-0-sa-0.1 12288   128  3968  4096
  tp-0-sd-0.0 49152 16896 19968 36864
  tp-0-sd-0.1 49152 16896 19968 36864
