3Par7450 cli% srstatpd -attime -groupby PDID
Time: 2017-06-22 05:30:00 CDT (1498127400)
     -----IO/s----- ----KBytes/s----- ---Svct ms---- -IOSz KBytes--
PDID   Rd   Wr  Tot    Rd    Wr   Tot   Rd   Wr  Tot   Rd   Wr  Tot QLen AvgBusy%
   0  1.2  1.6  2.8  11.1  16.3  27.4 0.31 0.20 0.24  9.2 10.1  9.7    0      0.0
   1  0.9  1.8  2.7   8.9  25.5  34.4 0.42 0.25 0.31 10.5 14.1 12.9    0      0.1
   2  1.6  1.8  3.5  12.9  17.9  30.9 0.30 0.24 0.27  7.9  9.7  8.9    0      0.1
   3  0.8  1.6  2.4   9.2  24.0  33.1 0.48 0.24 0.32 11.2 15.0 13.7    0      0.1
   4  1.2  1.6  2.8  12.9  19.5  32.4 0.30 0.24 0.27 10.9 12.1 11.6    0      0.1
   5  0.9  1.8  2.7   8.6  25.3  33.8 0.44 0.27 0.33 10.1 14.0 12.7    0      0.1
   6  1.3  1.7  2.9  11.4  17.1  28.5 0.37 0.19 0.27  9.1 10.3  9.7    0      0.0
   7  0.8  1.6  2.4   7.7  22.4  30.1 0.43 0.24 0.30  9.8 14.3 12.8    0      0.0
   8  1.1  1.2  2.3  10.6  10.4  21.0 0.84 0.24 0.53  9.8  8.9  9.3    0      0.1
   9  0.7  0.8  1.6   7.8   7.1  14.9 0.34 0.30 0.32 10.7  8.4  9.5    0      0.0
  10  1.3  1.4  2.7  10.9  10.5  21.4 0.69 0.25 0.46  8.4  7.4  7.9    0      0.1
  11  0.5  0.6  1.1   5.6   5.5  11.1 0.35 0.37 0.36 11.9  9.1 10.3    0      0.0
  12  1.8  1.4  3.2  10.4   8.9  19.4 0.70 0.26 0.50  5.8  6.3  6.0    0      0.1
  13  0.6  0.7  1.3   6.2   6.0  12.2 0.40 0.20 0.29 10.7  8.5  9.5    0      0.0
  14  1.0  1.1  2.1   9.8   8.6  18.5 0.74 0.32 0.52  9.8  8.2  9.0    0      0.1
  15  0.7  0.8  1.4   7.9   6.0  13.9 0.36 0.18 0.26 12.0  8.0  9.9    0      0.0
---------------------------------------------------------------------------------
  16 16.4 21.5 37.9 151.9 231.0 383.0 0.48 0.24 0.35  9.4 10.8 10.2    0      0.1
